#SampleID	Dataset	lat	long	pH	specific_location	Moisture	N	C	CN	CO2_C
CP135	Central_Park	40.77177	-73.96895	5.16	"New York, NY USA"	11.25617502	0.2413	3.579	14.83215914	1.871445772
CP536	Central_Park	40.78832	-73.95683	6.59	"New York, NY USA"	14.6556741	0.2415	3.946	16.33954451	1.10276318
CP540	Central_Park	40.78992	-73.95589	5.32	"New York, NY USA"	16.44040903	0.2423	3.667	15.13413124	1.41412061
CP123	Central_Park	40.77329	-73.97522	5.48	"New York, NY USA"	18.11735941	0.2435	4.766	19.57289528	2.188137885
CP419	Central_Park	40.78135	-73.96777	5.58	"New York, NY USA"	19.42184776	0.2439	3.68	15.08815088	3.886819174
CP1	Central_Park	40.76875	-73.98112	6.44	"New York, NY USA"	20.23393385	0.2443	4.593	18.80065493	2.307670273
CP479	Central_Park	40.79122	-73.96069	5.96	"New York, NY USA"	18.15657045	0.2455	3.625	14.76578411	2.102104194
CP339	Central_Park	40.7731	-73.96799	6.13	"New York, NY USA"	12.04041304	0.2476	5.041	20.35945073	1.761561999
CP616	Central_Park	40.79611	-73.95	6.44	"New York, NY USA"	12.34650741	0.2486	5.107	20.54304103	2.323351545
CP342	Central_Park	40.77385	-73.96902	5.87	"New York, NY USA"	20.14894634	0.2488	5.104	20.51446945	1.740211813
